"ID","Player","Team","Position","RkOv","Status","FPts","FP/G","Ros","+/-","Par","Bir","Eag","Bog","DBo","Alb","H1","TP","Oth","Plc"
"*04uqe*","Lee Hodges","null","null","81","FA","0","0","54%","+4%","0","0","0","0","0","0","0","0","0","0"
"*05olq*","Carson Young","null","null","60","FA","0","0","39%","+0.2%","0","0","0","0","0","0","0","0","0","0"
"*03scq*","J.J. Spaun","null","null","73","FA","0","0","38%","-0.8%","0","0","0","0","0","0","0","0","0","0"
"*01s08*","Gary Woodland","null","null","159","FA","0","0","38%","+1.7%","0","0","0","0","0","0","0","0","0","0"
"*01s0c*","Tiger Woods","null","null","309","FA","0","0","38%","-9%","0","0","0","0","0","0","0","0","0","0"
"*030zq*","Grayson Murray","null","null","132","FA","0","0","31%","+4.8%","0","0","0","0","0","0","0","0","0","0"
"*04dox*","Alex Smalley","null","null","104","FA","0","0","31%","0%","0","0","0","0","0","0","0","0","0","0"
"*04pig*","kevin Yu","null","null","53","FA","0","0","31%","+1.1%","0","0","0","0","0","0","0","0","0","0"
"*027cy*","Patrick Reed","null","null","301","FA","0","0","31%","-18.4%","0","0","0","0","0","0","0","0","0","0"
"*01rgl*","Webb Simpson","null","null","135","FA","0","0","30%","+10.9%","0","0","0","0","0","0","0","0","0","0"
"*0529f*","Matthias Schmid","null","null","50","FA","0","0","29%","+0.4%","0","0","0","0","0","0","0","0","0","0"
"*03ppr*","Davis Riley","null","null","69","FA","0","0","26%","-0.6%","0","0","0","0","0","0","0","0","0","0"
"*04lre*","Greyson Sigg","null","null","71","FA","0","0","25%","-0.4%","0","0","0","0","0","0","0","0","0","0"
"*01qpg*","Troy Merritt","null","null","68","FA","0","0","24%","+0.1%","0","0","0","0","0","0","0","0","0","0"
"*01pxw*","Charley Hoffman","null","null","72","FA","0","0","24%","-1.6%","0","0","0","0","0","0","0","0","0","0"
"*064q4*","Vincent Norrman","null","null","147","FA","0","0","24%","+0.3%","0","0","0","0","0","0","0","0","0","0"
"*02719*","Lanto Griffin","null","null","64","FA","0","0","22%","-0.7%","0","0","0","0","0","0","0","0","0","0"
"*01rjx*","Scott Stallings","null","null","116","FA","0","0","21%","-0.4%","0","0","0","0","0","0","0","0","0","0"
"*04xe2*","Nicolas Echavarria","null","null","59","FA","0","0","21%","-0.7%","0","0","0","0","0","0","0","0","0","0"
"*01qzh*","C.T. Pan","null","null","119","FA","0","0","19%","+0.3%","0","0","0","0","0","0","0","0","0","0"
"*0603u*","Samuel Stevens","null","null","57","FA","0","0","18%","-0.7%","0","0","0","0","0","0","0","0","0","0"
"*04530*","Victor Perez","null","null","184","FA","0","0","18%","+1.4%","0","0","0","0","0","0","0","0","0","0"
"*03o9b*","Chan Kim","null","null","128","FA","0","0","17%","+1%","0","0","0","0","0","0","0","0","0","0"
"*03da4*","Robby Shelton","null","null","39","FA","0","0","16%","+0.2%","0","0","0","0","0","0","0","0","0","0"
"*05t5b*","Pierceson Coody","null","null","210","FA","0","0","15%","-1%","0","0","0","0","0","0","0","0","0","0"
"*060g2*","Chris Gotterup","null","null","163","FA","0","0","15%","-0.6%","0","0","0","0","0","0","0","0","0","0"
"*01qzf*","Ryan Palmer","null","null","106","FA","0","0","15%","-0.3%","0","0","0","0","0","0","0","0","0","0"
"*01q9i*","Patton Kizzire","null","null","107","FA","0","0","15%","-0.8%","0","0","0","0","0","0","0","0","0","0"
"*01q9b*","Kevin Kisner","null","null","162","FA","0","0","14%","+10.6%","0","0","0","0","0","0","0","0","0","0"
"*01otb*","Aaron Baddeley","null","null","109","FA","0","0","13%","-0.2%","0","0","0","0","0","0","0","0","0","0"
"*03o4j*","Erik Barnes","null","null","181","FA","0","0","13%","+9.9%","0","0","0","0","0","0","0","0","0","0"
"*05g4a*","Harry Hall","null","null","40","FA","0","0","13%","+0.5%","0","0","0","0","0","0","0","0","0","0"
"*01qpr*","Phil Mickelson","null","null","318","FA","0","0","13%","-9.6%","0","0","0","0","0","0","0","0","0","0"
"*02ibl*","Kelly Kraft","null","null","146","FA","0","0","12%","-0.7%","0","0","0","0","0","0","0","0","0","0"
"*04yrj*","Sami Valimaki","null","null","141","FA","0","0","12%","+0.1%","0","0","0","0","0","0","0","0","0","0"
"*01uqe*","Joseph Bramlett","null","null","129","FA","0","0","12%","-1.5%","0","0","0","0","0","0","0","0","0","0"
"*02k0r*","Brice Garnett","null","null","156","FA","0","0","12%","+9.1%","0","0","0","0","0","0","0","0","0","0"
"*061qp*","Adrien Dumont De Chassart","null","null","191","FA","0","0","11%","-0.7%","0","0","0","0","0","0","0","0","0","0"
"*04xol*","Hayden Buckley","null","null","114","FA","0","0","11%","-0.2%","0","0","0","0","0","0","0","0","0","0"
