"ID","Player","Team","Position","RkOv","Status","FPts","Ros","+/-","Par","Bir","Eag","Bog","DBo","Alb","H1","Oth","Plc"
"*03pjt*","Seamus Power","null","null","115","W (Mon)","0","57%","-6.5%","0","0","0","0","0","0","0","0","0"
"*04uqe*","Lee Hodges","null","null","83","W (Mon)","0","44%","-7.7%","0","0","0","0","0","0","0","0","0"
"*01pxw*","Charley Hoffman","null","null","67","W (Mon)","0","30%","-11.4%","0","0","0","0","0","0","0","0","0"
"*03oay*","Nate Lashley","null","null","44","W (Mon)","0","30%","+5.8%","0","0","0","0","0","0","0","0","0"
"*04pig*","kevin Yu","null","null","50","W (Mon)","0","30%","-14.4%","0","0","0","0","0","0","0","0","0"
"*04lre*","Greyson Sigg","null","null","52","W (Mon)","0","28%","+1.9%","0","0","0","0","0","0","0","0","0"
"*01qpg*","Troy Merritt","null","null","51","W (Mon)","0","27%","-8.4%","0","0","0","0","0","0","0","0","0"
"*04xe2*","Nicolas Echavarria","null","null","31","W (Mon)","0","27%","-7.5%","0","0","0","0","0","0","0","0","0"
"*03ppr*","Davis Riley","null","null","49","W (Mon)","0","27%","-1.5%","0","0","0","0","0","0","0","0","0"
"*064q4*","Vincent Norrman","null","null","148","W (Mon)","0","26%","-0.6%","0","0","0","0","0","0","0","0","0"
"*02719*","Lanto Griffin","null","null","61","W (Mon)","0","26%","+3.6%","0","0","0","0","0","0","0","0","0"
"*0529f*","Matthias Schmid","null","null","46","W (Mon)","0","24%","+6.2%","0","0","0","0","0","0","0","0","0"
"*01rgl*","Webb Simpson","null","null","149","W (Mon)","0","22%","-4.9%","0","0","0","0","0","0","0","0","0"
"*030zq*","Grayson Murray","null","null","145","W (Mon)","0","22%","-4.1%","0","0","0","0","0","0","0","0","0"
"*0603u*","Samuel Stevens","null","null","54","W (Mon)","0","20%","-0.2%","0","0","0","0","0","0","0","0","0"
"*04530*","Victor Perez","null","null","196","W (Mon)","0","20%","-0.6%","0","0","0","0","0","0","0","0","0"
"*05a2g*","Alejandro Tosti","null","null","147","W (Mon)","0","18%","-2.7%","0","0","0","0","0","0","0","0","0"
"*01qzh*","C.T. Pan","null","null","112","W (Mon)","0","18%","-2.3%","0","0","0","0","0","0","0","0","0"
"*05t5b*","Pierceson Coody","null","null","227","W (Mon)","0","18%","-2.3%","0","0","0","0","0","0","0","0","0"
"*01qzf*","Ryan Palmer","null","null","90","W (Mon)","0","17%","+2.4%","0","0","0","0","0","0","0","0","0"
"*03o9b*","Chan Kim","null","null","124","W (Mon)","0","17%","-0.6%","0","0","0","0","0","0","0","0","0"
"*03da4*","Robby Shelton","null","null","39","W (Mon)","0","17%","+1.2%","0","0","0","0","0","0","0","0","0"
"*061qp*","Adrien Dumont De Chassart","null","null","192","W (Mon)","0","15%","-3.6%","0","0","0","0","0","0","0","0","0"
"*02top*","Ben Kohles","null","null","171","W (Mon)","0","15%","-4.8%","0","0","0","0","0","0","0","0","0"
"*01otb*","Aaron Baddeley","null","null","101","W (Mon)","0","14%","+2.4%","0","0","0","0","0","0","0","0","0"
"*04xol*","Hayden Buckley","null","null","99","W (Mon)","0","14%","-0.6%","0","0","0","0","0","0","0","0","0"
"*05g4a*","Harry Hall","null","null","37","W (Mon)","0","14%","-1%","0","0","0","0","0","0","0","0","0"
"*03pa0*","Alexander Bjork","null","null","155","W (Mon)","0","11%","-0.1%","0","0","0","0","0","0","0","0","0"
"*03d9n*","Zac Blair","null","null","71","W (Mon)","0","11%","-0.9%","0","0","0","0","0","0","0","0","0"
"*01r72*","Chez Reavie","null","null","130","W (Mon)","0","10%","+0.8%","0","0","0","0","0","0","0","0","0"
"*04a7g*","Callum Tarren","null","null","75","W (Mon)","0","10%","-0.1%","0","0","0","0","0","0","0","0","0"
"*01rtx*","Jhonattan Vegas","null","null","167","W (Mon)","0","8%","-0.1%","0","0","0","0","0","0","0","0","0"
"*01rlm*","Kevin Streelman","null","null","163","W (Mon)","0","7%","+0.4%","0","0","0","0","0","0","0","0","0"
"*01tf1*","Bud Cauley","null","null","229","W (Mon)","0","6%","+0.8%","0","0","0","0","0","0","0","0","0"
"*01p6j*","Stewart Cink","null","null","131","W (Mon)","0","6%","+1.2%","0","0","0","0","0","0","0","0","0"
"*01qc6*","Martin Laird","null","null","56","W (Mon)","0","6%","+2.1%","0","0","0","0","0","0","0","0","0"
"*02xgf*","David Lipsky","null","null","78","W (Mon)","0","6%","0%","0","0","0","0","0","0","0","0","0"
"*03rlp*","Ben Taylor","null","null","110","W (Mon)","0","6%","+0.4%","0","0","0","0","0","0","0","0","0"
"*01oqc*","Tyson Alexander","null","null","60","W (Mon)","0","6%","+0.8%","0","0","0","0","0","0","0","0","0"
"*03pju*","Chad Ramey","null","null","80","W (Mon)","0","6%","0%","0","0","0","0","0","0","0","0","0"
"*01ql9*","Ben Martin","null","null","86","W (Mon)","0","5%","+0.4%","0","0","0","0","0","0","0","0","0"
"*04as9*","Jimmy Stanger","null","null","144","W (Mon)","0","5%","-4.3%","0","0","0","0","0","0","0","0","0"
"*04mmu*","Norman Xiong","null","null","198","W (Mon)","0","3%","0%","0","0","0","0","0","0","0","0","0"
"*01p1a*","Bronson Burgoon","null","null","211","W (Mon)","0","3%","0%","0","0","0","0","0","0","0","0","0"
"*01p2q*","Jorge Campillo","null","null","220","W (Mon)","0","3%","+0.8%","0","0","0","0","0","0","0","0","0"
"*04mrh*","Harrison Endycott","null","null","127","W (Mon)","0","3%","+0.4%","0","0","0","0","0","0","0","0","0"
"*01q3s*","Zach Johnson","null","null","181","W (Mon)","0","3%","-0.5%","0","0","0","0","0","0","0","0","0"
"*01ri8*","Brandt Snedeker","null","null","161","W (Mon)","0","3%","0%","0","0","0","0","0","0","0","0","0"
"*05tea*","Joe Highsmith","null","null","175","W (Mon)","0","3%","+0.4%","0","0","0","0","0","0","0","0","0"
"*01q9b*","Kevin Kisner","null","null","188","W (Mon)","0","3%","0%","0","0","0","0","0","0","0","0","0"
"*04dot*","Max Greyserman","null","null","158","W (Mon)","0","2%","+1.3%","0","0","0","0","0","0","0","0","0"
"*03d9x*","Nicholas Lindheim","null","null","159","W (Mon)","0","2%","0%","0","0","0","0","0","0","0","0","0"
"*03o4j*","Erik Barnes","null","null","202","W (Mon)","0","2%","+1.3%","0","0","0","0","0","0","0","0","0"
"*04l98*","Rico Hoey","null","null","193","W (Mon)","0","2%","+0.4%","0","0","0","0","0","0","0","0","0"
"*041kd*","Hayden Springer","null","null","186","W (Mon)","0","2%","+0.4%","0","0","0","0","0","0","0","0","0"
"*01ozp*","Ryan Brehm","null","null","123","W (Mon)","0","1%","0%","0","0","0","0","0","0","0","0","0"
"*04aoa*","Kevin Dougherty","null","null","170","W (Mon)","0","1%","0%","0","0","0","0","0","0","0","0","0"
"*01pu6*","Padraig Harrington","null","null","252","W (Mon)","0","1%","+0.9%","0","0","0","0","0","0","0","0","0"
"*01rv3*","Jimmy Walker","null","null","207","W (Mon)","0","1%","0%","0","0","0","0","0","0","0","0","0"
"*01p4t*","Kevin Chappell","null","null","190","W (Mon)","0","1%","0%","0","0","0","0","0","0","0","0","0"
"*04xom*","Wilson Furr","null","null","226","W (Mon)","0","1%","0%","0","0","0","0","0","0","0","0","0"
"*03o05*","Andrew Landry","null","null","185","W (Mon)","0","1%","0%","0","0","0","0","0","0","0","0","0"
"*05ri3*","Mac Meissner","null","null","204","W (Mon)","0","1%","0%","0","0","0","0","0","0","0","0","0"
"*02z04*","David Skinns","null","null","146","W (Mon)","0","1%","-0.4%","0","0","0","0","0","0","0","0","0"
"*029fi*","Roger Sloan","null","null","224","W (Mon)","0","1%","0%","0","0","0","0","0","0","0","0","0"
"*04913*","Paul Barjon","null","null","214","W (Mon)","0","0%","-0.4%","0","0","0","0","0","0","0","0","0"
"*01p2t*","Rafael Campos","null","null","225","W (Mon)","0","0%","0%","0","0","0","0","0","0","0","0","0"
"*01pdu*","Luke Donald","null","null","305","W (Mon)","0","0%","0%","0","0","0","0","0","0","0","0","0"
"*05296*","Patrick Fishburn","null","null","243","W (Mon)","0","0%","0%","0","0","0","0","0","0","0","0","0"
"*01rop*","Josh Teater","null","null","236","W (Mon)","0","0%","0%","0","0","0","0","0","0","0","0","0"
"*049lh*","Tom Whitney","null","null","256","W (Mon)","0","0%","0%","0","0","0","0","0","0","0","0","0"
"*04gg6*","Trace Crowe","null","null","218","W (Mon)","0","0%","0%","0","0","0","0","0","0","0","0","0"
"*01prv*","Scott Gutschewski","null","null","246","W (Mon)","0","0%","0%","0","0","0","0","0","0","0","0","0"
"*01py3*","J.B. Holmes","null","null","231","W (Mon)","0","0%","0%","0","0","0","0","0","0","0","0","0"
"*04azx*","Ryan McCormick","null","null","230","W (Mon)","0","0%","0%","0","0","0","0","0","0","0","0","0"
"*05nb2*","Raul Pereda","null","null","248","W (Mon)","0","0%","0%","0","0","0","0","0","0","0","0","0"
"*03of9*","Ben Willman","null","null","3476","W (Mon)","0","0%","0%","0","0","0","0","0","0","0","0","0"
