player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"McIlroy, Rory",150,1.952,0.000,34,-0.009,-0.075,-0.099,0.214,0.039,-0.004,0.016,-0.060,-0.048,1.974,2.858,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Henley, Russell",150,1.294,0.000,34,-0.010,-0.076,-0.092,0.079,0.216,0.001,-0.090,-0.057,-0.146,1.265,2.811,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"An, Byeong Hun",150,0.979,0.000,32,0.001,-0.001,-0.017,0.200,0.095,-0.002,0.047,-0.040,0.005,1.262,2.867,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Young, Cameron",150,1.016,0.000,26,0.026,0.003,-0.012,0.198,-0.007,-0.002,0.006,-0.023,-0.020,1.204,2.892,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Poston, J.T.",150,1.366,0.000,30,0.008,-0.059,-0.007,-0.124,0.054,0.000,-0.016,-0.084,-0.099,1.139,2.824,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Kim, Tom",150,1.186,0.000,21,0.048,0.061,-0.075,0.078,-0.041,0.000,-0.064,-0.059,-0.123,1.133,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Cole, Eric",150,1.247,0.000,35,-0.013,0.067,-0.098,-0.081,0.028,0.000,-0.007,-0.068,-0.075,1.073,2.829,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Fitzpatrick, Matt",150,1.146,0.000,29,0.014,0.001,-0.092,0.087,-0.025,-0.001,-0.004,-0.066,-0.071,1.061,2.849,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Conners, Corey",150,0.923,0.000,32,0.002,-0.018,-0.035,0.248,-0.018,-0.000,-0.073,-0.008,-0.081,1.020,2.842,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Im, Sungjae",150,0.960,0.000,25,0.029,0.026,-0.073,0.100,0.055,-0.000,-0.032,-0.056,-0.088,1.011,2.843,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
