"ID","Player","Team","Position","RkOv","Status","Roster Status","FPts","FP/G","Ros","+/-","Par","Bir","Eag","Bog","DBo","Alb","H1","TP","Oth","Plc"
"*05osh*","Eric Cole","null","null","1","MG","Reserve","950.5","79.21","100%","0%","478","237","4","83","8","0","0","12","0","247"
"*01qha*","Luke List","null","null","2","919","Reserve","938.5","78.21","99%","-0.2%","504","213","8","79","4","0","0","12","2","367"
"*04z4l*","Akshay Bhatia","null","null","3","NT 4","Reserve","849.5","70.79","99%","-0.9%","474","205","5","83","6","0","0","12","1","417"
"*03ppj*","Nick Hardy","null","null","4","NT 8","Reserve","833.5","64.12","71%","+0.4%","523","203","3","106","9","0","0","13","2","582"
"*060yj*","Ben Griffin","null","null","5","MG","Reserve","827.5","68.96","90%","-1.6%","501","174","11","84","4","0","0","12","0","444"
"*05lo8*","Ludvig Aberg","null","null","6","NT 4","Active","812","90.22","100%","0%","382","181","9","52","6","0","0","9","0","133"
"*027ev*","Beau Hossler","null","null","7","919","Reserve","790","79","98%","-0.8%","436","181","6","72","7","0","0","10","0","214"
"*033hc*","Mark Hubbard","null","null","8","txms","Active","787","65.58","73%","-3.6%","474","175","6","76","7","0","0","12","0","477"
"*032pw*","Adam Svensson","null","null","9","MG","Reserve","759","69","96%","-0.2%","449","161","11","73","7","0","0","11","1","397"
"*054yw*","Taylor Montgomery","null","null","10","[AW]","Reserve","742.5","67.5","95%","-0.4%","439","176","4","72","10","0","0","11","1","376"
"*029fh*","Tom Hoge","null","null","11","MG","Reserve","716","71.6","92%","+0.8%","382","164","6","64","13","0","0","10","1","354"
"*03oet*","Erik Van Rooyen","null","null","12","NT 4","Active","710.5","78.94","96%","-2.1%","368","164","7","49","6","0","0","9","0","262"
"*03uzn*","Sam Ryder","null","null","13","NT 8","Reserve","695","63.18","85%","0%","414","159","7","78","6","0","0","11","2","477"
"*01qwg*","Alex Noren","null","null","14","u_c","Reserve","694","69.4","92%","-0.8%","455","145","7","55","4","0","0","10","0","334"
"*05abl*","Davis Thompson","null","null","15","txms","Active","678","75.33","62%","-1.2%","377","164","3","63","5","0","0","9","0","321"
"*041js*","J.T. Poston","null","null","16","txms","Reserve","662.5","82.81","100%","0%","311","151","8","48","3","0","0","8","1","172"
"*033hd*","Justin Lower","null","null","17","919","Active","661.5","60.14","14%","-1.6%","429","159","2","90","4","0","0","11","0","564"
"*02ytc*","Stephan Jaeger","null","null","18","MG","Active","649","81.12","90%","-1.5%","338","144","8","58","10","0","1","8","0","287"
"*04ymp*","Vincent Whaley","null","null","19","NT 8","Active","645","64.5","42%","-3.8%","393","155","2","55","6","0","0","10","1","414"
"*04pig*","kevin Yu","null","null","20","txms","Reserve","640","49.23","62%","-1.8%","372","150","4","92","12","0","0","13","0","732"
"*03d9w*","Kyoung-Hoon Lee","null","null","21","MG","Active","636","63.6","67%","-2%","387","144","6","67","7","0","0","10","1","459"
"*01pxw*","Charley Hoffman","null","null","22","u_c","Active","635","57.73","38%","+31.7%","405","142","3","73","4","0","0","11","3","566"
"*01rol*","Nick Taylor","null","null","23","grrr","Reserve","626","78.25","95%","+7.1%","343","132","5","53","6","0","0","8","1","272"
"*04ant*","Sahith Theegala","null","null","24","grrr","Reserve","624","69.33","100%","0%","338","146","4","68","2","0","0","9","0","304"
"*02oyu*","Mackenzie Hughes","null","null","25","grrr","Active","622","69.11","86%","0%","376","138","7","70","2","0","0","9","1","378"
"*041km*","Justin Suh","null","null","26","NT 4","Reserve","608","67.56","82%","-0.8%","352","158","0","76","8","0","0","9","0","413"
"*02i28*","Emiliano Grillo","null","null","28","grrr","Active","606.5","60.65","98%","-0.2%","374","138","4","71","7","0","0","10","0","381"
"*01rq8*","Brendon Todd","null","null","30","txms","Reserve","605.5","75.69","89%","-0.5%","357","140","4","52","5","0","0","8","0","228"
"*04syb*","Carl Yuan","null","null","32","[AW]","Active","600.5","66.72","50%","-5.6%","346","139","7","77","7","0","0","9","0","423"
"*049uf*","Cameron Davis","null","null","33","grrr","Reserve","594","74.25","99%","+1.5%","328","143","4","56","7","0","0","8","2","241"
"*02too*","Chesson Hadley","null","null","34","MG","Active","585.5","73.19","44%","-1.4%","340","145","1","45","6","0","0","8","3","303"
"*01q9i*","Patton Kizzire","null","null","36","MG","Active","584","64.89","26%","-1.3%","360","133","5","50","8","0","0","9","2","430"
"*0510w*","Brandon Wu","null","null","39","NT 4","Reserve","578","64.22","54%","-5.7%","372","130","5","60","9","0","0","9","0","461"
"*02yk2*","Si Woo Kim","null","null","40","NT 4","Active","573.5","71.69","99%","+0.1%","344","119","7","47","3","0","0","8","2","302"
"*01qrr*","Ryan Moore","null","null","41","NT 8","Active","565","56.5","34%","-1.9%","368","132","2","50","5","0","0","10","1","489"
"*03yr5*","Christiaan Bezuidenhout","null","null","42","grrr","Reserve","563.5","80.5","85%","+1.3%","282","123","6","51","6","0","0","7","0","215"
"*04dor*","Cameron Champ","null","null","43","NT 8","Active","560.5","56.05","49%","-1.9%","344","133","4","69","6","0","0","10","2","560"
"*02toq*","Matthew NeSmith","null","null","44","NT 4","Reserve","560.5","62.28","29%","-0.7%","359","131","4","76","5","0","0","9","1","465"
"*0603u*","Samuel Stevens","null","null","46","919","Active","556.5","61.83","18%","+0.2%","352","134","3","75","12","0","0","9","0","467"
"*025ci*","Hideki Matsuyama","null","null","48","u_c","Reserve","556","79.43","99%","0%","309","103","8","59","7","0","1","7","0","246"
"*041j5*","Keith Mitchell","null","null","50","grrr","Active","555.5","61.72","79%","-2.3%","331","119","7","58","6","0","0","9","1","405"
"*04mkw*","Doug Ghim","null","null","49","MG","Active","555.5","55.55","19%","+5.5%","348","114","7","49","4","0","0","10","0","514"
"*03pa9*","Adam Schenk","null","null","52","MG","Reserve","555","61.67","87%","-1.6%","335","128","4","69","4","0","0","9","0","377"
"*050qx*","Seonghyeon Kim","null","null","51","919","Active","555","61.67","52%","+0.2%","319","134","4","77","5","0","0","9","1","407"
"*042bw*","Thomas Detry","null","null","54","[AW]","Active","553","69.12","85%","-0.6%","299","136","1","63","4","0","0","8","1","318"
"*03scq*","J.J. Spaun","null","null","55","[AW]","Active","548.5","54.85","56%","-0.9%","350","128","4","67","9","0","0","10","0","483"
"*03o6j*","Tyler Duncan","null","null","56","919","Active","547.5","60.83","22%","-0.4%","361","125","2","52","0","0","0","9","0","411"
"*02h6r*","Harris English","null","null","57","[AW]","Reserve","545.5","77.93","97%","+1.1%","312","108","10","53","3","0","0","7","0","216"
"*05olq*","Carson Young","null","null","59","grrr","Active","540","60","22%","+2%","355","124","2","55","4","0","0","9","0","442"
"*01rud*","Camilo Villegas","null","null","61","NT 4","Reserve","535.5","66.94","56%","-2.4%","279","133","3","52","1","0","0","8","0","406"
"*030zo*","Michael Kim","null","null","63","MG","Active","531","75.86","50%","-5.1%","266","132","3","62","5","0","0","7","0","240"
"*03fu2*","Taylor Pendrith","null","null","64","u_c","Active","529","66.12","71%","-1.3%","315","129","0","37","5","0","0","8","0","261"
"*04dox*","Alex Smalley","null","null","65","txms","Reserve","527.5","58.61","52%","+0.7%","323","123","4","66","6","0","0","9","0","460"
"*0510p*","Austin Eckroat","null","null","66","u_c","Active","522.5","58.06","69%","-6.3%","365","116","2","54","3","0","0","9","0","414"
"*01whh*","Adam Hadwin","null","null","67","txms","Reserve","515.5","73.64","96%","-1.3%","246","123","2","41","2","0","0","7","0","220"
"*0401u*","Xander Schauffele","null","null","69","[AW]","Reserve","510.5","85.08","100%","0%","268","107","4","31","3","0","0","6","1","118"
"*051lw*","Dylan Wu","null","null","71","NT 4","Reserve","500.5","50.05","27%","-2.1%","362","117","1","75","3","0","0","10","0","562"
"*03cp4*","Scottie Scheffler","null","null","74","grrr","Reserve","488","97.6","100%","0%","207","106","3","25","1","0","0","5","0","41"
"*0510x*","Cameron Young","null","null","77","NT 4","Active","475.5","79.25","100%","0%","253","110","4","40","7","0","0","6","0","219"
"*0452x*","Sungjae Im","null","null","78","919","Reserve","473","67.57","100%","0%","275","114","2","53","6","0","0","7","0","297"
"*03nur*","Sam Burns","null","null","79","[AW]","Reserve","471","94.2","100%","0%","219","96","5","19","3","0","0","5","0","62"
"*050qw*","Tom Kim","null","null","81","txms","Reserve","469","78.17","100%","0%","238","105","6","44","3","0","0","6","0","186"
"*03d9y*","Maverick McNealy","null","null","83","txms","Active","467.5","66.79","50%","+3.7%","262","102","6","57","5","0","0","7","0","339"
"*01q98*","Chris Kirk","null","null","84","919","Reserve","466.5","66.64","98%","+0.1%","256","116","1","39","1","0","0","7","1","246"
"*01rjx*","Scott Stallings","null","null","85","NT 8","Active","462.5","57.81","30%","-3.2%","289","104","4","46","7","0","0","8","0","414"
"*01qba*","Matt Kuchar","null","null","87","[AW]","Reserve","456.5","57.06","78%","-0.7%","282","102","4","39","3","0","0","8","2","376"
"*03ppp*","Denny McCarthy","null","null","89","u_c","Reserve","455.5","75.92","98%","-0.2%","258","109","2","39","6","0","0","6","0","159"
"*041kw*","Matt Wallace","null","null","91","u_c","Active","448","64","29%","-0.2%","281","103","4","57","5","0","0","7","0","388"
"*032pt*","Corey Conners","null","null","92","u_c","Reserve","441","73.5","98%","-0.3%","263","98","4","47","2","0","0","6","0","217"
"*01z7y*","Brian Harman","null","null","95","[AW]","Reserve","436.5","72.75","100%","0%","262","97","5","47","3","0","0","6","0","225"
"*04ece*","Wyndham Clark","null","null","97","MG","Reserve","434","86.8","100%","0%","183","78","9","33","3","0","0","5","0","162"
"*04zhs*","Garrick Higgo","null","null","98","919","Active","432.5","61.79","23%","-2%","248","107","4","55","17","0","0","7","1","407"
"*049tv*","Kurt Kitayama","null","null","99","grrr","Reserve","429.5","71.58","92%","+1.6%","275","93","3","38","5","0","0","6","0","155"
"*01pj5*","Tony Finau","null","null","100","NT 8","Active","427","85.4","100%","+0.5%","194","97","5","42","4","0","0","5","0","135"
"*01szi*","Byeong Hun An","null","null","101","MG","Reserve","422","84.4","98%","+0.1%","187","101","4","49","1","0","0","5","0","119"
"*027es*","Patrick Cantlay","null","null","102","u_c","Reserve","416","83.2","100%","0%","210","95","2","34","1","0","0","5","0","135"
"*030zn*","Max Homa","null","null","103","919","Reserve","414.5","69.08","100%","0%","239","93","3","40","2","0","0","6","1","189"
"*041jm*","Matthieu Pavon","null","null","104","MG","Reserve","412.5","103.12","86%","+1.2%","158","84","2","23","3","0","0","4","0","50"
"*01rp9*","Justin Thomas","null","null","105","NT 4","Active","410","82","100%","0%","188","88","2","28","0","0","0","5","0","78"
"*01pop*","Lucas Glover","null","null","106","NT 8","Reserve","408.5","68.08","85%","+1%","220","103","2","49","3","0","0","6","1","308"
"*01pb5*","Jason Day","null","null","107","[AW]","Reserve","404.5","80.9","100%","0%","183","87","5","28","3","0","0","5","0","138"
"*041lc*","Taylor Moore","null","null","108","NT 4","Active","403.5","67.25","80%","+0.3%","257","95","2","56","4","0","0","6","0","233"
"*01oz6*","Keegan Bradley","null","null","109","txms","Reserve","397.5","66.25","100%","0%","231","90","4","52","1","0","0","6","0","172"
"*01re1*","Adam Scott","null","null","112","NT 8","Reserve","389","77.8","97%","+3.5%","209","83","5","41","4","0","0","5","0","93"
"*041jw*","Aaron Rai","null","null","116","[AW]","Active","383","63.83","74%","-3.3%","222","98","1","50","5","0","0","6","2","280"
"*042vf*","Collin Morikawa","null","null","117","txms","Reserve","379","75.8","100%","0%","181","92","1","27","5","0","0","5","0","118"
"*01uqg*","Russell Henley","null","null","121","919","Reserve","361.5","72.3","99%","+1.7%","225","82","2","32","1","0","0","5","0","151"
"*05xp0*","Ryo Hisatsune","null","null","129","grrr","Active","350.5","70.1","52%","-1.8%","204","81","2","33","4","0","0","5","0","153"
"*01otb*","Aaron Baddeley","null","null","127","grrr","Active","350.5","58.42","9%","-0.4%","253","79","1","38","7","0","0","6","0","287"
"*04on9*","Nicolai Hojgaard","null","null","130","txms","Active","349.5","69.9","94%","+0.6%","212","78","1","47","4","0","0","5","0","159"
"*02mut*","Patrick Rodgers","null","null","138","[AW]","Active","317.5","63.5","78%","-0.5%","197","71","2","32","3","0","0","5","1","178"
"*01pk8*","Rickie Fowler","null","null","139","NT 8","Reserve","313","52.17","100%","0%","221","78","0","53","6","0","0","6","2","343"
"*04bz5*","Min Woo Lee","null","null","141","u_c","Reserve","310","77.5","98%","-1.4%","182","61","5","38","2","0","0","4","0","141"
"*031vh*","Matthew Fitzpatrick","null","null","144","txms","Reserve","302.5","60.5","100%","0%","153","73","3","36","4","0","0","5","1","221"
"*03mop*","Will Zalatoris","null","null","145","grrr","Reserve","300.5","75.12","97%","+1.3%","162","60","2","27","1","0","1","4","0","131"
"*01ra6*","Justin Rose","null","null","150","919","Reserve","288","72","92%","-0.6%","171","66","2","27","3","0","0","4","1","164"
"*03mmu*","Jake Knapp","null","null","152","u_c","Active","285.5","71.38","33%","+8.3%","172","60","1","29","5","1","0","4","3","169"
"*061qc*","Nick Dunlap","null","null","153","NT 8","Reserve","282.5","70.62","69%","+2%","106","56","4","23","8","0","0","4","1","214"
"*01uh8*","Jordan Spieth","null","null","159","[AW]","Reserve","274","91.33","100%","+0.5%","123","60","1","13","1","0","0","3","0","48"
"*041he*","Wesley Bryan","null","null","165","NT 8","Reserve","262.5","65.62","0%","0%","156","62","2","29","2","0","0","4","1","212"
"*064q4*","Vincent Norrman","null","null","177","u_c","Active","245.5","40.92","42%","-3.8%","212","54","1","53","4","0","0","6","0","377"
"*04xua*","Viktor Hovland","null","null","187","MG","Reserve","225.5","75.17","100%","0%","124","50","2","21","0","0","0","3","1","99"
"*039u6*","Tommy Fleetwood","null","null","191","u_c","Reserve","216","72","100%","0%","125","49","1","23","0","0","0","3","0","88"
