"ID","Player","Team","Position","RkOv","Status","Roster Status","FPts","Ros","+/-","Par","Bir","Eag","Bog","DBo","Alb","H1","Oth","Plc"
"*05lo8*","Ludvig Aberg","null","null","7","NT 4","Reserve","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*03nur*","Sam Burns","null","null","89","[AW]","Reserve","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*027es*","Patrick Cantlay","null","null","111","u_c","Reserve","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*01pb5*","Jason Day","null","null","117","[AW]","Reserve","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*01qo2*","Rory McIlroy","null","null","244","NT 8","Active","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*0401u*","Xander Schauffele","null","null","76","[AW]","Reserve","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*03cp4*","Scottie Scheffler","null","null","83","grrr","Reserve","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*04ant*","Sahith Theegala","null","null","39","grrr","Reserve","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*04ece*","Wyndham Clark","null","null","103","MG","Reserve","0","100%","-0.5%","0","0","0","0","0","0","0","0","0"
"*01pj5*","Tony Finau","null","null","75","NT 8","Reserve","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*030zn*","Max Homa","null","null","112","919","Reserve","0","100%","-0.5%","0","0","0","0","0","0","0","0","0"
"*04xua*","Viktor Hovland","null","null","198","MG","Reserve","0","100%","-0.5%","0","0","0","0","0","0","0","0","0"
"*042vf*","Collin Morikawa","null","null","123","txms","Reserve","0","100%","-0.5%","0","0","0","0","0","0","0","0","0"
"*01uh8*","Jordan Spieth","null","null","147","[AW]","Reserve","0","100%","-0.5%","0","0","0","0","0","0","0","0","0"
"*01rp9*","Justin Thomas","null","null","114","NT 4","Reserve","0","100%","-0.5%","0","0","0","0","0","0","0","0","0"
"*0510x*","Cameron Young","null","null","85","NT 4","Reserve","0","100%","-0.5%","0","0","0","0","0","0","0","0","0"
"*05osh*","Eric Cole","null","null","1","MG","Active","0","99%","-0.9%","0","0","0","0","0","0","0","0","0"
"*039u6*","Tommy Fleetwood","null","null","200","u_c","Reserve","0","99%","-0.9%","0","0","0","0","0","0","0","0","0"
"*02i28*","Emiliano Grillo","null","null","18","grrr","Reserve","0","99%","+0.9%","0","0","0","0","0","0","0","0","0"
"*025ci*","Hideki Matsuyama","null","null","61","u_c","Reserve","0","99%","0%","0","0","0","0","0","0","0","0","0"
"*031vh*","Matthew Fitzpatrick","null","null","154","txms","Active","0","99%","-1.4%","0","0","0","0","0","0","0","0","0"
"*0452x*","Sungjae Im","null","null","87","919","Active","0","99%","-1.4%","0","0","0","0","0","0","0","0","0"
"*050qw*","Tom Kim","null","null","90","txms","Active","0","99%","-1.4%","0","0","0","0","0","0","0","0","0"
"*03oet*","Erik Van Rooyen","null","null","8","NT 4","Active","0","99%","+2.8%","0","0","0","0","0","0","0","0","0"
"*01qha*","Luke List","null","null","2","919","Reserve","0","98%","-0.5%","0","0","0","0","0","0","0","0","0"
"*03mop*","Will Zalatoris","null","null","155","grrr","Reserve","0","98%","+0.9%","0","0","0","0","0","0","0","0","0"
"*041js*","J.T. Poston","null","null","27","txms","Active","0","98%","-1.9%","0","0","0","0","0","0","0","0","0"
"*01oz6*","Keegan Bradley","null","null","120","txms","Reserve","0","97%","-2.8%","0","0","0","0","0","0","0","0","0"
"*04on9*","Nicolai Hojgaard","null","null","109","txms","Reserve","0","96%","+2.3%","0","0","0","0","0","0","0","0","0"
