"ID","Player","Team","Position","RkOv","Status","Roster Status","FPts","FP/G","Ros","+/-","Par","Bir","Eag","Bog","DBo","Alb","H1","TP","Oth","Plc"
"*05lo8*","Ludvig Aberg","null","null","3","NT 4","Active","0","0","100%","0%","0","0","0","0","0","0","0","0","0","0"
"*03nur*","Sam Burns","null","null","85","[AW]","Active","0","0","100%","0%","0","0","0","0","0","0","0","0","0","0"
"*027es*","Patrick Cantlay","null","null","96","u_c","Reserve","0","0","100%","0%","0","0","0","0","0","0","0","0","0","0"
"*04ece*","Wyndham Clark","null","null","43","MG","Active","0","0","100%","0%","0","0","0","0","0","0","0","0","0","0"
"*030zn*","Max Homa","null","null","75","919","Reserve","0","0","100%","0%","0","0","0","0","0","0","0","0","0","0"
"*025ci*","Hideki Matsuyama","null","null","48","u_c","Reserve","0","0","100%","+0.2%","0","0","0","0","0","0","0","0","0","0"
"*042vf*","Collin Morikawa","null","null","102","txms","Active","0","0","100%","0%","0","0","0","0","0","0","0","0","0","0"
"*0401u*","Xander Schauffele","null","null","31","[AW]","Active","0","0","100%","0%","0","0","0","0","0","0","0","0","0","0"
"*03cp4*","Scottie Scheffler","null","null","5","grrr","Reserve","0","0","100%","0%","0","0","0","0","0","0","0","0","0","0"
"*04ant*","Sahith Theegala","null","null","14","grrr","Reserve","0","0","100%","0%","0","0","0","0","0","0","0","0","0","0"
"*01rp9*","Justin Thomas","null","null","98","NT 4","Active","0","0","100%","0%","0","0","0","0","0","0","0","0","0","0"
"*0510x*","Cameron Young","null","null","26","NT 4","Active","0","0","100%","+0.4%","0","0","0","0","0","0","0","0","0","0"
"*05osh*","Eric Cole","null","null","2","MG","Active","0","0","100%","+0.4%","0","0","0","0","0","0","0","0","0","0"
"*01pb5*","Jason Day","null","null","103","[AW]","Active","0","0","100%","+0.2%","0","0","0","0","0","0","0","0","0","0"
"*01uqg*","Russell Henley","null","null","79","919","Reserve","0","0","100%","+1.2%","0","0","0","0","0","0","0","0","0","0"
"*02yk2*","Si Woo Kim","null","null","25","NT 4","Active","0","0","100%","+0.6%","0","0","0","0","0","0","0","0","0","0"
"*01qo2*","Rory McIlroy","null","null","127","NT 8","Active","0","0","100%","+0.2%","0","0","0","0","0","0","0","0","0","0"
"*01uh8*","Jordan Spieth","null","null","117","[AW]","Active","0","0","100%","-0.3%","0","0","0","0","0","0","0","0","0","0"
"*04z4l*","Akshay Bhatia","null","null","1","NT 4","Active","0","0","99%","+0.4%","0","0","0","0","0","0","0","0","0","0"
"*01pj5*","Tony Finau","null","null","55","NT 8","Active","0","0","99%","+0.4%","0","0","0","0","0","0","0","0","0","0"
"*01z7y*","Brian Harman","null","null","61","[AW]","Active","0","0","99%","-0.4%","0","0","0","0","0","0","0","0","0","0"
"*041js*","J.T. Poston","null","null","22","txms","Active","0","0","99%","+0.5%","0","0","0","0","0","0","0","0","0","0"
